431,Spirit of Atlanta,8/8/2013,"Indianapolis, IN",34.4,25.95,26.05,86.4,0,86.4
432,Blue Stars,8/8/2013,"Indianapolis, IN",34.1,25.85,26.25,86.2,0,86.2
433,Crossmen,8/8/2013,"Indianapolis, IN",33.8,25.5,25.55,84.85,0,84.85
434,Troopers,8/8/2013,"Indianapolis, IN",34.45,25.65,25.95,86.05,0,86.05
435,Pacific Crest,8/8/2013,"Indianapolis, IN",32.95,24.4,24.95,82.3,0,82.3
436,Colts,8/8/2013,"Indianapolis, IN",32.75,25.2,24.5,82.45,0,82.45
437,Mandarins,8/8/2013,"Indianapolis, IN",32.3,23.6,23.85,79.75,0,79.75
438,The Academy,8/8/2013,"Indianapolis, IN",31.3,23.45,23.45,78.2,0,78.2
439,Jersey Surf,8/8/2013,"Indianapolis, IN",30.3,22.3,22.8,75.4,0,75.4
440,Genesis,8/8/2013,"Indianapolis, IN",29.8,22.45,22.4,74.65,0,74.65
441,Bluecoats,8/8/2013,"Indianapolis, IN",37,27.7,28.2,92.9,0,92.9
442,The Cavaliers,8/8/2013,"Indianapolis, IN",35.45,27,27.45,89.9,0,89.9
443,Madison Scouts,8/8/2013,"Indianapolis, IN",35.6,26.8,27.5,89.9,0,89.9
444,Blue Knights,8/8/2013,"Indianapolis, IN",35.05,27,26,88.05,0,88.05
445,Spirit of Atlanta,8/8/2013,"Indianapolis, IN",34.25,26.25,26.25,86.75,0,86.75
446,Boston Crusaders,8/8/2013,"Indianapolis, IN",35.5,26.6,26.85,88.95,1,87.95
447,The Cadets,8/9/2013,"Indianapolis, IN",38.75,28.6,29.6,96.95,0,96.95
448,Carolina Crown,8/9/2013,"Indianapolis, IN",39.45,29.6,29.25,98.3,0,98.3
449,Blue Devils,8/9/2013,"Indianapolis, IN",39.05,29.7,29.3,98.05,0,98.05
450,Santa Clara Vanguard,8/9/2013,"Indianapolis, IN",38.65,29.15,29.05,96.85,0,96.85
451,Phantom Regiment,8/9/2013,"Indianapolis, IN",37.2,28.45,27.6,93.25,0,93.25
